Id,name,tag_category_id
155,練乳,9
156,豆腐,10
157,油揚げ,10
158,厚揚げ,10
159,納豆,10
160,小豆,10
161,大豆,10
162,黒豆,10
163,大豆加工品,10
164,カニカマ,11
165,かまぼこ,11
166,さつま揚げ,11
167,ちくわ,11
168,はんぺん,11
169,こんにゃく,11
170,しらたき,11
171,キムチ,11
172,ザーサイ,11
173,紅生姜,11
174,青のり,12
175,お麩,12
176,かつお節,12
177,寒天,12
178,きくらげ,12
179,切り干し大根,12
180,ごま,12
181,昆布,12
182,塩昆布,12
183,天かす,12
184,唐辛子,12
185,とろろ昆布,12
186,のり,12
187,はるさめ,12
188,ひじき,12
189,干しえび,12
190,干し椎茸,12
191,めかぶ,12
192,ゆかり,12
193,わかめ,12
194,強力粉,13
195,小麦粉,13
196,白玉粉,13
197,薄力粉,13
198,米粉,13
199,片栗粉,13
200,きな粉,13
201,パン粉,13
202,コーンスターチ,13
203,アーモンドパウダー,13
204,アーモンドプードル,13
205,ココア,13
206,ゼラチン,13
207,パイシート,13
208,バニラエッセンス,13
209,ベーキングパウダー,13
210,ホットケーキミックス,13
211,メープルシロップ,13
212,レーズン,13
213,オリーブ,14
214,カニ缶,14
215,コーン,14
216,コーン缶,14
217,コンビーフ,14
218,さば缶,14
219,シーチキン,14
220,ツナ,14
221,トマト缶,14
222,ホタテ缶,14
223,フルーツ缶,14
224,ミックスビーンズ,14
225,レトルトカレー,14
226,惣菜・おつまみ缶,14
227,アーモンド,15
228,カシューナッツ,15
229,くるみ,15
230,ピーナッツ,15
231,ピスタチオ,15
232,ミックスナッツ,15
233,板チョコ,15
234,マシュマロ,15
235,クラッカー,15
236,アイス,15
237,冷凍フルーツ,15
238,コーヒー,16
239,トマトジュース,16
240,ビール,16
241,ラム酒,16
242,ワイン,16
243,赤ワイン,16
244,白ワイン,16
245,酒,16
246,日本酒,16
247,紅茶,16
248,昆布茶,16
249,抹茶,16
250,しょうゆ,17
251,砂糖,17
252,塩,17
253,胡椒,17
254,みそ,17
255,みりん,17
256,めんつゆ,17
257,だし,17
258,調理酒,17
259,ウスターソース,17
260,オイスターソース,17
261,中濃ソース,17
262,中華スープの素,17
263,和風だしの素,17
264,鶏ガラスープの素,17
265,コンソメ,17
266,ケチャップ,17
267,マヨネーズ,17
268,からし,17
269,しょうが,17
270,にんにく,17
271,わさび,17
272,柚子胡椒,17
273,タバスコ,17
274,マスタード,17
275,ラー油,17
276,カレールー,17
277,カレー粉,17
278,ナンプラー,17
279,焼肉のたれ,17
280,酢,17
281,バルサミコ酢,17
282,ポン酢,17
283,ワインビネガー,17
284,黒酢,17
285,マーガリン,17
286,はちみつ,17
287,甜麺醤,17
288,豆板醤,17
289,コチュジャン,17
290,オリーブオイル,17
291,ココナッツオイル,17
292,ごま油,17
293,サラダ油,17
294,米油,17
295,ハーブ類,17
296,スパイス類,17
